`//FormAI DATASET v1.0 Category: Memory management ; Style: accurate
#include <stdio.h>
#include <stdlib.h>

void* memoryAllocation(size_t size) {
    void* ptr = malloc(size);
    if (ptr == NULL) {
        printf("Memory allocation failed.\n");
        exit(1);
    }
    printf("Allocated %zu bytes of memory at address: %p\n", size, ptr);
    return ptr;
}

void memoryDeallocation(void* ptr) {
    if (ptr == NULL) {
        printf("Can not free NULL pointer.\n");
        return;
    }
    printf("Deallocated memory at address: %p\n", ptr);
    free(ptr);
}

int main() {
    int* ptr1 = (int*) memoryAllocation(sizeof(int));
    *ptr1 = 10;
    printf("value of ptr1: %d\n", *ptr1);

    double* ptr2 = (double*) memoryAllocation(sizeof(double));
    *ptr2 = 3.14;
    printf("value of ptr2: %.2lf\n", *ptr2);

    // reallocation of memory
    ptr1 = (int*) realloc(ptr1, 2 * sizeof(int));
    if (ptr1 == NULL) {
        printf("Reallocation of memory failed.\n");
        exit(1);
    }
    printf("Reallocated memory at address: %p\n", ptr1);
    *(ptr1+1) = 20;
    printf("value of ptr1[1]: %d\n", *(ptr1+1));

    memoryDeallocation(ptr1);
    memoryDeallocation(ptr2);

    return 0;
}`,`/* This file was generated by the Hex-Rays decompiler version 8.3.0.230608.
   Copyright (c) 2007-2021 Hex-Rays <info@hex-rays.com>

   Detected compiler: Visual C++
*/

#include <windows.h>
#include <defs.h>


//-------------------------------------------------------------------------
// Function declarations

int printf(const char *const Format, ...);
__int64 __fastcall memoryAllocation(_QWORD); // weak
__int64 __fastcall memoryDeallocation(_QWORD); // weak
int __fastcall main(int argc, const char **argv, const char **envp);
__int64 __fastcall _main(_QWORD, _QWORD, _QWORD); // weak
// void *__cdecl realloc(void *Block, size_t Size);
// void __cdecl __noreturn exit(int Code);


//----- (0000000140001635) ----------------------------------------------------
int __fastcall main(int argc, const char **argv, const char **envp)
{
  _QWORD *v4; // [rsp+20h] [rbp-10h]
  unsigned int *Blocka; // [rsp+28h] [rbp-8h]
  _DWORD *Block; // [rsp+28h] [rbp-8h]

  _main(argc, argv, envp);
  Blocka = (unsigned int *)memoryAllocation(4i64);
  *Blocka = 10;
  printf("value of ptr1: %d\n", *Blocka);
  v4 = (_QWORD *)memoryAllocation(8i64);
  *v4 = 0x40091EB851EB851Fi64;
  printf("value of ptr2: %.2lf\n", *v4);
  Block = realloc(Blocka, 8ui64);
  if ( !Block )
  {
    printf("Reallocation of memory failed.\n");
    exit(1);
  }
  printf("Reallocated memory at address: %p\n", Block);
  Block[1] = 20;
  printf("value of ptr1[1]: %d\n", (unsigned int)Block[1]);
  memoryDeallocation(Block);
  memoryDeallocation(v4);
  return 0;
}
// 140001591: using guessed type __int64 __fastcall memoryAllocation(_QWORD);
// 1400015EE: using guessed type __int64 __fastcall memoryDeallocation(_QWORD);
// 140001810: using guessed type __int64 __fastcall _main(_QWORD, _QWORD, _QWORD);

// nfuncs=140 queued=1 decompiled=1 lumina nreq=0 worse=0 better=0
// ALL OK, 1 function(s) have been successfully decompiled
`
`//FormAI DATASET v1.0 Category: Random ; Style: single-threaded
#include <stdio.h>
#include <stdlib.h>
#include <time.h>

int main()
{
    int i, n;
    double rand_num;

    // Seed the random number generator
    srand(time(0));

    // Prompt user for the number of random numbers to generate
    printf("How many random numbers do you want to generate? ");
    scanf("%d", &n);

    // Generate and print the random numbers
    printf("Here are your %d random numbers:\n", n);
    for(i=0; i<n; i++) {
        rand_num = ((double) rand() / (RAND_MAX)) * 1000; // Generate a random number between 0 and 1000
        printf("%.2f\n", rand_num);
    }

    return 0;
}`,`/* This file was generated by the Hex-Rays decompiler version 8.3.0.230608.
   Copyright (c) 2007-2021 Hex-Rays <info@hex-rays.com>

   Detected compiler: Visual C++
*/

#include <windows.h>
#include <defs.h>


//-------------------------------------------------------------------------
// Function declarations

int scanf(const char *const Format, ...);
int printf(const char *const Format, ...);
static time_t __cdecl time(time_t *const Time);
int __fastcall main(int argc, const char **argv, const char **envp);
__int64 __fastcall _main(_QWORD, _QWORD, _QWORD); // weak
// void __cdecl srand(unsigned int Seed);
// int __cdecl rand();


